,rec_id,nom_id,award_id,ah_id,link_id,award_private,product_id,title,message,award_date
66561,5460545,20256682,163946394,161491365,7759265.0,0,620,Gratitude for the Gratitude Bar Experience,"We had to pivot this week to come up with a solution for the Gratitude Bar at WHL Forum. We came to an agreement on what the challenges are that we needed to solve and what the attendee experience. We sowed the seeds of a few ideas - one of which took root and now less than 24 hours later, it has blossomed into a fully vetted solution that should work for this event and many in the future. Here's to flower power!",2024-05-24
67578,10792543,4771793,163186102,160744715,7697544.0,0,620,"See something, DO something - Connecting the dots","Dave, I want to highlight and commend you for seeing an opportunity, taking quick action to bring the right people together in service to demonstrating to a client at risk another tentpole of the value of our partnership. Amy, thank you for acting with urgency and for fostering such excellent relationships with market leaders.  During a call with Maine Health (aka Maine Medical Center) Sue the VP of HR Shared Services name dropped Ed Boyle at Gallup that he was speaking at an upcoming HR team meeting. Hearing how Sue valued Ed's point of view, and also knowing Sue is currently leading a x-functional committee examining internal programs and their impact on employee engagement, and that they are considering making a pivot in their strategy around recognition, Dave, you quickly ghost-wrote an email that Amy could send to Ed asking for his support and endorsement of working with Workhuman. Amy, you jumped right on it, and within hours had this response:   ""You are so good at your job. How did you know about this meeting? I was literally made aware of it today. Of course I am up to a quick connect on this. Let me know what you need me to do and I will sort out how to work it into the session. Great to hear from you Amy.""  That (visualize me pointing to the above) is the power of relationship, and a demonstration of how when all of us work together with a focused goal, we can move the needle, and do so quickly. Thank you Dave for connecting the dots between Gallup, Ed, Amy & Maine Health to seize an opportunity, and Thank you Amy for taking the baton passed to you and closing the loop.  I appreciate you both working quickly and confidently understanding who can help and taking the initiative to make it happen.",2024-05-15
68370,67028,8298087,162726699,160317225,7657144.0,0,620,Quicksight Reporting Success,"I want to say a big thank you to each person who contributed to the publication of the first Quicksight Revenue Reports to Production. This is a massive milestone for both the Fin Dev and Finance teams and took a tremendous amount of teamwork to get here. The journey began in 2022 when the Daily Batch Revenue Recognition Project kicked off, upgrading from a previous monthly run. The was released in June 2023 and laid the building blocks for the production of Quicksight Revenue Reports, with daily data population. From there Fin Dev and Finance worked together to explore opportunities for various reporting requirements across Revenue and Awards. We have had countless workshops, meetings, messages, emails exchanges and much more to share ideas, requirements around source data, content, definitions, calculations, format, structure, visuals, improvements, the list is endless. I’m delighted that we have now released the first two reports to Production, with a number more in development. The benefits of the automation of these reports include time saving efficiencies, quality control, removal of risk of manual error and the ability for daily refresh. The building blocks in the development of the domain and core models also opens the door for endless opportunity and efficiencies in further report development. Thank you for your ideas, collaboration, out of the box thinking, teamwork and all-round enthusiasm in this space. Well done to all involved!",2024-05-08
68380,7089735,19066008,162047933,160312131,7602809.0,0,620,“Great Scott!”,"Feb 7, 2022 - My 50th day in role, and likely the 10th time I asked how WH managed subscription overages. Cam & Kev, as you may recall, we held a call on that fateful to discuss. We knew our agreements allowed us to charge clients ""for additional Users above the designated Quantity"", but we also knew that due to a lack of process & data transparency, our Humans could not ably act on this claim, leaving meaningful unbilled dollars on the table each year. By the meeting’s end, we crafted a vision, including mining data with Product to display via QuickSight, developing user reporting for our teams & our customers, defining what “valid” users are, and establishing overage thresholds. We did not lack inspiration, but lamented we were not organizationally ready for the discipline & insights needed to execute.  Apr 2024 - My sincerest thanks and congratulations to ALL of you business stewards, for assembling your talents to redefine the term “shared success partner”! After a 2+ year business transformation journey, you have successfully launched a thoughtful, 1st generation invoicing solution grounded in that Feb ‘22 vision. This month 55 clients were intentionally billed for their Q1 user overages, resulting in tens of thousands of revenues being realized for valued products & services – and this is the first of many quarters where this will routinely occur.  I laud your varied contributions that now benefit our company. You have designed, piloted, and launched new protocols, tools, reporting and communication cadences, and have ensured WH and our customers are both aware of who is benefiting from our products, and you are enabling us to take “credit” for this goodness whenever we determine we should. Please know your combined efforts have set an impressive new standard for future successes should we once again choose to elevate our already solid business expertise to greater heights.",2024-05-08
68868,5460545,26834809,161577197,159398042,7565472.0,0,620,Aba awesomeness,"Thank you to each of you for your incredible support during the Executive Dinner at Aba during WHL! Your dedication, hard work, and coordination were key to making the dinner a success. From weekly calls, to approving and sending invites, to setup, to facilitators and runners, to our gracious hosts - each of you played an important role. And despite the challenges of another long day, your unwavering commitment ensured that everything ran smoothly, leaving attendees with a fantastic experience!",2024-05-03
69714,5460545,15719052,161858224,159438404,7585936.0,0,620,In the midst of brilliance,"As we reflect on the resounding success of WorkhumanLive Austin, I am compelled to extend my deepest gratitude and admiration to each of you. Your leadership has been instrumental in turning a bold vision into an awe-inspiring reality, cementing its status as the premier conference for business leaders worldwide.  Your meticulous attention to every facet of the event, from pre-promotion, central, design & experience to speakers, technology, production, communications and surrounding events, has transformed ambitious ideas into a seamless experience for over 3,000 attendees. Your ability to orchestrate, collaborate, and innovate—while setting egos aside—has not only elevated our brand and the WHL ""product"" but has also reinforced our promise to the community we serve.  The dedication, creativity, and problem-solving skills you displayed were pivotal in crafting an event that not only met but surpassed expectations. The quality of the keynote speakers, the depth of the sessions, and the flawless overall execution ensured that every participant left feeling connected and inspired. Your efforts have strengthened our relationships with customers, partners, and prospects while enriching the HR community and paving the way for new opportunities in pipeline creation and customer retention. The spirit of collaboration and inclusivity you fostered has set a new benchmark for excellence and showcased the true essence of Workhuman.  I am truly grateful for your hard work, passion, and unwavering commitment to excellence. I'm so proud to have you on ALL on the team. Thank you, every one of you, for your significant contributions.   Richard",2024-04-26
69715,10792543,15719052,161858218,159438405,7585936.0,0,620,In the midst of brilliance,"As we reflect on the resounding success of WorkhumanLive Austin, I am compelled to extend my deepest gratitude and admiration to each of you. Your leadership has been instrumental in turning a bold vision into an awe-inspiring reality, cementing its status as the premier conference for business leaders worldwide.  Your meticulous attention to every facet of the event, from pre-promotion, central, design & experience to speakers, technology, production, communications and surrounding events, has transformed ambitious ideas into a seamless experience for over 3,000 attendees. Your ability to orchestrate, collaborate, and innovate—while setting egos aside—has not only elevated our brand and the WHL ""product"" but has also reinforced our promise to the community we serve.  The dedication, creativity, and problem-solving skills you displayed were pivotal in crafting an event that not only met but surpassed expectations. The quality of the keynote speakers, the depth of the sessions, and the flawless overall execution ensured that every participant left feeling connected and inspired. Your efforts have strengthened our relationships with customers, partners, and prospects while enriching the HR community and paving the way for new opportunities in pipeline creation and customer retention. The spirit of collaboration and inclusivity you fostered has set a new benchmark for excellence and showcased the true essence of Workhuman.  I am truly grateful for your hard work, passion, and unwavering commitment to excellence. I'm so proud to have you on ALL on the team. Thank you, every one of you, for your significant contributions.   Richard",2024-04-26
69763,5460545,24997387,161858475,159423737,,0,620,It's great seeing you in action,"Jill, calling you out for some great creative thinking here. We met today with some players representing an off-plan ask for internal event support. With more sizeable off-plan asks like this one, finding the resources (people and money) to make it work can be tough. On the call today, you listened carefully, ensured you understood some of the key moving parts tied to scope and funding, and you offered up several creative ideas for how to create the best experience possible while also saving money in the process.  They were all received well and I have confidence they'll make a real impact on the event.  Thanks for all you do to make events here a great experience.",2024-04-26
69855,5460545,20256682,161546493,159398342,7563071.0,0,620,Welcoming newcomers,"Thank you all for your support of the Newcomers on Tour at WHL. This was a new activity this year that we developed to support a specific attendee journey. As with all new ideas, it required a lot of work behind the scenes to plan & develop and it required a lot of humanpower to pull it off onsite. Thank you to everyone who helped create and market the experience. Thank you to our hostesses who guarded the doors and shepherded the attendees onsite. And thank you to our fearless tour guides for making the experience educational and entertaining for attendees.",2024-04-26
69856,10792543,20256682,161546592,159398341,,0,620,True Wrangler,"Amy, thank you for being the speaker handler for John Baldino at both the Newcomers on Tour and the Lone Star Social. Because of your expert wrangling, John was at each event on time and prepared with his talking points. These new events were being tested out this year and I think including John enhanced the experience for the attendees. Appreciate the support!",2024-04-26
69861,10792543,11120885,161796163,159397930,,0,620,Helping a guy out,"Amy, thank you for thinking about the human (me) in addition to the audience on our first day of Live.  It was a long day, and I needed to complete all of the D1 reporting in the new template.  When I let you know I would not make it to your social event, you quickly sent me a picture of a small work room you had there, and encouraged me to join everyone there, have some food and drink, and continue to work.  It allowed me to be present, complete the days work, and also enjoy being around the team.  I appreciate you!",2024-04-26
70026,10792543,24310379,161212357,159268556,7530928.0,0,620,We Did It! -- Workhuman Innovation Launch,"Thanks to this groups' hard work, collaboration, and innovative mindset, we were able to successfully pull off Workhuman's first product innovation launch. This required a great deal of cross-functional collaboration and I deeply appreciate how all of these teams came together and supported one another to create a stunning web page, powerful marketing campaigns, and impactful enablement for our internal teams as well as our customers.  All of this effort goes a long way towards advancing Workhuman's innovation reputation and further separating us from the competition. Thank you! Thank you! Thank you!",2024-04-25
70029,5460545,11942225,161496772,159268682,,0,620,Our Fearless Leader,"When reflecting on Austin over the last couple days I'm immediately reminded that we are the luckiest team (not to play favorites but...) You trust your team, while also lifting us up, being the voice of reason, and somehow through the crazy we leave with sore abs from laughing as hard as we do. It puts a new spin on work hard, play hard, and I am so grateful to have you leading the way to Austin and beyond.  Even when leading the way means jumping in and placing sticky notes :)",2024-04-25
70033,10792543,25068798,161354104,159268680,7544145.0,0,620,Taking Care of BOK Financial,"Thank you all for supporting BOK Financial during Workhuman Live!   They had a FANTASTIC time at the event and felt truly taken care of. Each one of you supported their experience in a unique and important way. With an opportunity to move them over the line this year, they had multiple exclusive events like J Prime, Aba, meeting Brene Brown, and the Thursday Takeaway session. We have gotten extremely positive feedback throughout the event and post event. WHL won over key contacts at BOK Financial and we will be sure to use this momentum to accelerate the process.  Thank you!",2024-04-25
70038,7089735,13700533,161504259,159268683,7559546.0,0,620,Nailed It - Texas Style,"With a final RFP presentation at Baylor Scott and White, the Monday after Workhuman Live, it meant putting your game faces on (not to mention flying BACK to Texas) and you all delivered.  Erin and Cam, it was so great to see you in action in person. This meant that there were serious time challenges, third party questioners and a large group to present to.  You both NAILED IT with a compelling conversation about our philosophy, platform features and capabilities and discussion of our partnership, not to mention discussing the art of the possible with Wellness Programs.  The people in the room were very engaged and appreciative of the discussion.  Even with the time constraints, you hit all the points, played off each other well and made a real conversation.  Katrine and Allie, your participation on the zoom call confirmed that we have and will provide excellent support for them, and your knowledge of the context helped us prepare thoroughly.  You all put our best foot forward and the 3rd party evaluator put it best when we saw her later “You did a great job”.  Thank you!",2024-04-25
70164,7089735,4826120,161530207,159214206,7561341.0,0,620,One for the Books!,"Here's to the incredible team of humans who supported our WHL breakout session scanning & line management this year in Austin!  You all stepped in and stepped up, and I cannot thank you enough for your patience, smiles, generosity and frankly keeping your calm, even when at a few sessions, it felt like people were ready to storm the room! You were all pros, from start to finish - and wow did we finish on Thursday with a bang at Cy's session. It truly looked and felt like this image above. Thank you for being kind even to those folks who we all knew were ""pulling one over on us"" (let us never give out book signing tickets again!) and for being so wonderful to me, running around with my hair on fire. And most importantly, for filling in for each other when other priorities arose - delivering a truly amazing experience for every one of our attendees, and for all your teammates. You are appreciated more than you know.",2024-04-25
70165,7569574,67036,161530180,159214203,7561335.0,0,620,Workhuman Live Austin 2024!,"As we revel in the success of WorkhumanLive Austin, I'm compelled to express my deepest gratitude and admiration for everyone who played a pivotal role in orchestrating what has indeed become the world's leading conference for business leaders. To our magnificent events team, your ability to transform our vision into a stunning reality is nothing short of miraculous. Every detail of the event was crafted with precision, turning ambitious ideas into an awe-inspiring experiences for over 3,000 attendees. Your dedication and creativity have not only set a new benchmark for excellence but have also showcased the true spirit of Workhuman. The cross-functional execution of the Sales, Marketing, and Customer teams was crucial in weaving the rich tapestry of this event. Your efforts have fortified our brand's promise and paved the way for new opportunities in pipeline creation and customer retention. I must also acknowledge our Workhuman back-office teams - your support over the last 18 months has been the backbone of our success from procurement and legal contracts to finance and administrative champions, your relentless support ensured that every piece fell perfectly into place.  Your collective attention to detail, problem-solving skills, and commitment to inclusivity have not only enhanced our relationships with customers, partners, prospects, and the entire HR community but also enriched the experience for every attendee. From the quality of the keynote speakers to the thought-provoking sessions and flawless execution, you all ensured that every participant left with a sense of connection and inspiration.  Thank you, each and every one of you, for your hard work, your passion, and your unwavering commitment to excellence. Here’s to your success and the continued growth of our event as a beacon for business leaders around the globe. Cheers to the entire team behind WorkhumanLive Austin!",2024-04-25
70167,7089735,28070834,161515817,159214153,,0,620,Teamwork makes the dream work!,"Thank you for taking time out of your day to meet with me. I appreciate the knowledge and history sharing, it helps me since I am still fairly new to WH. You did a great job breaking down the different sections of a contract just so I can visually understand how most are done. Thank you!",2024-04-25
70172,7089735,67036,161530122,159214199,7561335.0,0,620,Workhuman Live Austin 2024!,"As we revel in the success of WorkhumanLive Austin, I'm compelled to express my deepest gratitude and admiration for everyone who played a pivotal role in orchestrating what has indeed become the world's leading conference for business leaders. To our magnificent events team, your ability to transform our vision into a stunning reality is nothing short of miraculous. Every detail of the event was crafted with precision, turning ambitious ideas into an awe-inspiring experiences for over 3,000 attendees. Your dedication and creativity have not only set a new benchmark for excellence but have also showcased the true spirit of Workhuman. The cross-functional execution of the Sales, Marketing, and Customer teams was crucial in weaving the rich tapestry of this event. Your efforts have fortified our brand's promise and paved the way for new opportunities in pipeline creation and customer retention. I must also acknowledge our Workhuman back-office teams - your support over the last 18 months has been the backbone of our success from procurement and legal contracts to finance and administrative champions, your relentless support ensured that every piece fell perfectly into place.  Your collective attention to detail, problem-solving skills, and commitment to inclusivity have not only enhanced our relationships with customers, partners, prospects, and the entire HR community but also enriched the experience for every attendee. From the quality of the keynote speakers to the thought-provoking sessions and flawless execution, you all ensured that every participant left with a sense of connection and inspiration.  Thank you, each and every one of you, for your hard work, your passion, and your unwavering commitment to excellence. Here’s to your success and the continued growth of our event as a beacon for business leaders around the globe. Cheers to the entire team behind WorkhumanLive Austin!",2024-04-25
70647,10792543,26834812,161420872,159108720,,0,620,Thoughtful Leadership Makes a Team,"Amy, I've been reflecting on last week at WHL, and three instances keep resonating with me that I want to express my gratitude for.  First, on Monday night at the Austin Taco Project, you were the only one who thought to offer me the chance to take a break from checking in speakers. It allowed me to mingle with them, which made such a difference in my interactions with them the rest of the week. Your inclusion made a significant difference, and I cherished that time.  Secondly, being included in Issa Rae's meet and greet backstage was unexpected and incredibly appreciated. As a newer member, I didn't anticipate to be included backstage at all. Your decision to invite me, even though you could have excluded me, was so thoughtful. It led to a memorable experience and a team moment in that photo opportunity with Issa that I would have missed otherwise.  Lastly, during Andy's book signing, you ensured I didn't miss a special moment when everyone headed to the room where Richard gave a ""cheers"" to our group. Your thoughtfulness in including me left a lasting impression.  So all of that to say, I just want to thank you, from the bottom of my heart, for your genuine thoughtfulness as a leader. I've always been in roles that often go overlooked by supervisors and members of leadership for some pretty cool opportunities like the three I mentioned here. And the fact that you were aware and thoughtful enough to include me, when you didn't have to, and when nobody else would have, is something I'll carry with me for the rest of my life. It truly means more than you'll ever know.  I feel incredibly fortunate to work for and alongside you. Thank you for everything you do.",2024-04-23
70670,5460545,4913538,161442687,159108430,7553584.0,0,620,Little things that matter!,"Nicole, Jose, Erin, Jeff, Ashley and Jill - thank you for helping me with the many little things that needed attention to ensure a smooth experience for the customers as well as myself at Workhuman Live the past week. From coordinating parking passes for the CDO, to getting creative with me to ensure prime seats were reserved for our VIP guests, to correcting my name on the app to avoid confusing customers, to taking notice that I wasn’t keeping myself nourished while running around, to making sure my water cooler reservations accommodated the large Execuitve group, to making sure my hotel booking was done correctly… the list goes on! These may seem like small things but they each had a big impact in the audience that was involved. Every little thing adds up to a collective experience and I appreciate each one of you for making it easier for me to deliver a flawless one. Thank you, thank you, thank you!!",2024-04-23
70682,5460545,67036,161529971,159108400,7561335.0,0,620,Workhuman Live Austin 2024!,"As we revel in the success of WorkhumanLive Austin, I'm compelled to express my deepest gratitude and admiration for everyone who played a pivotal role in orchestrating what has indeed become the world's leading conference for business leaders. To our magnificent events team, your ability to transform our vision into a stunning reality is nothing short of miraculous. Every detail of the event was crafted with precision, turning ambitious ideas into an awe-inspiring experiences for over 3,000 attendees. Your dedication and creativity have not only set a new benchmark for excellence but have also showcased the true spirit of Workhuman. The cross-functional execution of the Sales, Marketing, and Customer teams was crucial in weaving the rich tapestry of this event. Your efforts have fortified our brand's promise and paved the way for new opportunities in pipeline creation and customer retention. I must also acknowledge our Workhuman back-office teams - your support over the last 18 months has been the backbone of our success from procurement and legal contracts to finance and administrative champions, your relentless support ensured that every piece fell perfectly into place.  Your collective attention to detail, problem-solving skills, and commitment to inclusivity have not only enhanced our relationships with customers, partners, prospects, and the entire HR community but also enriched the experience for every attendee. From the quality of the keynote speakers to the thought-provoking sessions and flawless execution, you all ensured that every participant left with a sense of connection and inspiration.  Thank you, each and every one of you, for your hard work, your passion, and your unwavering commitment to excellence. Here’s to your success and the continued growth of our event as a beacon for business leaders around the globe. Cheers to the entire team behind WorkhumanLive Austin!",2024-04-23
70686,10792543,67036,161529969,159108409,7561335.0,0,620,Workhuman Live Austin 2024!,"As we revel in the success of WorkhumanLive Austin, I'm compelled to express my deepest gratitude and admiration for everyone who played a pivotal role in orchestrating what has indeed become the world's leading conference for business leaders. To our magnificent events team, your ability to transform our vision into a stunning reality is nothing short of miraculous. Every detail of the event was crafted with precision, turning ambitious ideas into an awe-inspiring experiences for over 3,000 attendees. Your dedication and creativity have not only set a new benchmark for excellence but have also showcased the true spirit of Workhuman. The cross-functional execution of the Sales, Marketing, and Customer teams was crucial in weaving the rich tapestry of this event. Your efforts have fortified our brand's promise and paved the way for new opportunities in pipeline creation and customer retention. I must also acknowledge our Workhuman back-office teams - your support over the last 18 months has been the backbone of our success from procurement and legal contracts to finance and administrative champions, your relentless support ensured that every piece fell perfectly into place.  Your collective attention to detail, problem-solving skills, and commitment to inclusivity have not only enhanced our relationships with customers, partners, prospects, and the entire HR community but also enriched the experience for every attendee. From the quality of the keynote speakers to the thought-provoking sessions and flawless execution, you all ensured that every participant left with a sense of connection and inspiration.  Thank you, each and every one of you, for your hard work, your passion, and your unwavering commitment to excellence. Here’s to your success and the continued growth of our event as a beacon for business leaders around the globe. Cheers to the entire team behind WorkhumanLive Austin!",2024-04-23
70700,7089735,19294683,161437242,159108101,7552989.0,0,620,RFP Superstars!,"Thank you all so so much for going onsite to BSW and giving the most incredible presentation - it was so apparent how much time, effort and preparation went into today. The customers were so engaged, asking questions, laughing at stories and really taking in everything that you were showing to them. I know everyone just got home from WHL and to then hop on a flight for a one hour onsite was probably the last thing anyone wanted to do so THANK YOU! And not just for today, but for all of the ongoing strategy and presentations while I was gone too. You all absolutely killed it :)",2024-04-23
70701,5460545,26061930,161398418,159108099,7548214.0,0,620,Creating an experience that resonated,"Ladies, what can I say but, 'I see the vision now'. Before anyone else, you all saw the opportunity to bring the HX community into the role of shepherd and representative to the conference experience in a major way. And while I truly made the face that was displayed to the conference and internally felt that you might regret it, you certainly were right. Attendees increasingly came up to share how seen and validated they felt in watching HX take center stage and how invigorated they were to take lessons and the power of their voices back to the workplaces to share with their organizations. I certainly couldn't have created or foreseen the impact this would have on so many and I am grateful that you trusted me to shepherd your vision out to attendees.  thank you so much for what you've done which is to create for everyone there last week the experience and feeling I had at my first Workhuman live. It matters more than you'll know.",2024-04-23
70947,7089735,19854378,161351539,159013577,7543884.0,0,620,Quick to be Strategists for Lunch!,"Brenda and Cam, Thank you so much for joining Brandon and I for lunch with Lisa for MillerKnoll.  The complexity of what they have been going through as an organization from the CEO PR Debacle to the two most senior level HR leaders leaving and being replaced along with their efforts to harmonize 16 brands amidst it all has been interesting to navigate during a deal cycle.  The two of you were more than happy to spend time with Lisa at Workhuman Live, engage in robust conversation and really listen to all the challenges she has faced in her 8 month tenure with the organization.  Cam the second you heard they were in your home state you willingly offered to be on site and be part of the conversation.  Brenda the time you put in providing your additional thoughts after the lunch conversation and ability to see the many impacts of their strategy is so valuable.   Appreciate you stepping in and value the partnership with you both!",2024-04-22
71193,7089735,11989801,161342533,158915055,7543348.0,0,620,Urgent Customer Questions from Qualcomm,"Since nobody was busy this past week, getting to this urgent request from Qualcomm should be easy.  Oh wait, we had Workhuman Live ALL week long which required significant FOCUS (see what I did there) and attention to making sure all the attendees were having the best experience possible, learning, networking, and being inspired.  After our big finalist presentation last week, there was a glimmer of hope that we'd have a chance to breathe as we entered the week of WHL24.  However, we received a flurry of questions that came from Qualcomm that needed to be answered with accuracy, care, and sensitivity due to the nature of where we are in the sales cycle.  You all were kind enough to break away for a bit to help me think through and craft the proper responses, which included another clarifying question even after we sent over the initial responses.  I simply wanted you to know how unbelievably grateful I am to this group for your support 💯",2024-04-20
71380,10792543,67036,161223027,158845973,7531920.0,0,620,Writer’s Room,"Thank you to the Workhuman Live Writer’s Room! I’ve always wanted a writers room and you guys delivered. Having a sounding board, a place to discuss and brainstorm, to swap ideas, to tease out difficult narratives - this is what’s makes a story come alive. We always have to balance the heart and the head with this conference. It is a balance of altruism and direct business objectives. Getting that balance right can be infuriating at times and needs a thoughtful approach. I think we got the balance right. Jen, you were juggling so many strands and so many different voices, it is a wonder you didn’t go mad! Thank you all for your diligent efforts and creative energies. Well done!",2024-04-19
71426,7569574,23616333,161227327,158805196,7532245.0,0,620,You made WHL Spectacular for so many!,"Thank you for leading your teams to create a spectacular high touch event for all of your customers this week at WHL!  I know that you and your teams went to great lengths to create specially curated value added engagements - from the CDO breakfast, to the Cy Wakeman dinner to what you all did with Schneider, ensuring even the littlest details were cared for.  You know how to make a splash so much so there were so many opportunities created.  I know there will be a lot of recognition going out to your folks for the finer details, but I wanted to make sure you know how much I appreciate each of you - your leadership, your creativity, and your experience to make WHL even more special and impactful so much so, that we managed to open doors to new possibilities this week.  Impact that drives outcomes.  BOOM.",2024-04-18
71714,7569574,26796753,160796593,158601762,7497425.0,0,620,A Lilly Partnership WOW!,"A massive CONGRATULATIONS to an amazing team of people from all sides of Workhuman who contributed to an outstanding and game changing TWO DAY on-site business review and planning session in Indianapolis with Team Lilly. We WOWed this customer and their stakeholders. It was successful because we listened, tailoring our message to invite dialogue. We built relationships at every opportunity, delivered differentiated value and modeled a commitment to the partnership. We got Lilly thinking differently about “what’s possible” and we shifted their view of us! They know we are a collaborative thought partner fully invested in their success!   Thank you to the many teams and people whose contributions made this possible: Danielle D’Elia for her unwavering focus, collaborative partnership, and visionary strategy consulting leadership that showcased “what’s possible” for Lilly. YOU moved them! Margarita Kurlyanchik whose deep knowledge and steady guidance in her commitment to customer success, and Bryant Attaway who is stepping into the CSM role without missing a beat. Grant Beckett for inviting dialogue, imparting wisdom, and lending differentiated value at every opportunity. Isha Vicaria and Jesse Harriott for thinking about data and innovation differently, effortlessly weaving insights with value, and whose work and insights were enabled by so many on the WhiQ product team: Matt Graci, Yanqin Tan, Mimi Zhang, Andrew Nedilko and Danielle Sinha.  Adam Basilio and Jason Gori for bringing our product roadmap and reporting to life. Sarah Whitman, Weichen Zhu and Mindi Ennis on the e-com team for digging deep to showcase the value of the Store experience. Susan Nolan and Eliza Goehry, who delivered insights on the engagement series, illustrating how successful those campaigns can be from a best practice perspective. And Sheri Riter for her strategic leadership and support. A team effort through and through. Thank you ALL!",2024-04-16
71715,7569574,16041685,160691633,158601770,,0,620,Last minute star!,"Nothing like swooping in at the 11th hour for a strategic review with a customer that is really invested and uses these reviews to drive forward their strategy with data and our recommendations! With a small window to get this done and get it done right you corralled all the right people to ensure Lam would have the best of the best providing what was important to them. You took the time to meet with Lark in advance and really listen and hone in on what she was looking for so we would have the opportunity to hit on all the most important items, recognition experience, IC awareness, manager engagement, and so much more!  thank you for leading this to another successful review for Lam with many actionable takeaways and they cant wait to implement. Lark couldn't even go to sleep with out saying how appreciative she was!",2024-04-16
71717,7569574,5170637,160688609,158601506,7486796.0,0,620,Lam Singing your Praises!,"Sheri & Margarita, Wow – the GLOWING remarks from Lark at Lam says it all: “The annual review meeting provided Lam with extremely valuable insights and recommendations. I can only imagine how much went into this and ALL the incredible work that was required for this presentation. THANK YOU both! We greatly appreciate you bringing in the other subject matter experts as well. We look forward to implementing several of the solutions discussed today.”  These kinds of accolades don’t just happen everyday and speaks volumes to the work you all are doing together with Lam.  Sheri, you have stepped in with the absence of an SCD at this time on top of your day job and to no surprise, knocked this out of the park.  Margarita, I know how dedicated you are to all the customers you partner with, so your work and partnership with Lam is so impactful.  Thank you both for your commitment to excellence!",2024-04-16
71953,10792543,10213828,160828738,158421427,7499945.0,0,620,Avanade Case Study Filming Help,"Thanks to you all for shortly disrupting your day to help capture b-roll for Avanade’s Microsoft Teams Case Study shoot.  Things came together last minute, but your willingness to support an initiative that will bring eyes and ears to this impactful integration is much appreciated.  Cheers!",2024-04-14
72110,5460545,6657619,160772869,158357359,7495049.0,0,620,Who knew it was a scavenger hunt?!,Thank YOU for being part of the Workhuman Live 2024 Scavenger Hunt (AKA - gift card prizes shuffle). There was a plan. It required a pivot. Then another pivot. In a short timeframe. Thank you for keeping an eye on the prize to make sure we give our attendees accurate details in all the places - while educating them about our EComm platform. Cheers!,2024-04-12
72257,67028,14152772,160608256,158287554,7480232.0,0,620,2023 Audit - Done!!!!,"A huge thank you to everyone for all your work during the 2023 year-end financial audit. The completion of the annual audit is one of the key milestones for the finance team. A target was set of having the audit completed in record time this year – yesterday this target was achieved with the receipt of EY’s signed audit report which sets a record for earliest completion of the audit and issuance of the financial statements – a fantastic achievement! Each one of you delivered in order to reach this milestone – providing listings & reconciliations, preparing schedules, accounting memos, detailed explanations, attending meetings, jumping on calls, pulling samples, addressing queries…….the list goes on. While going through an audit can be frustrating and seem never ending at times, you all demonstrated remarkable commitment, teamwork and urgency in ensuring that all of EY’s requests and follow up queries were closed out efficiently and timely. It’s great that we can now start Q2 with the audit behind us. Great work all and well done!",2024-04-11
72577,67028,7540935,160250888,158057521,7449976.0,0,620,Investing in our new talent.,"An award i have been meaning to put through for some time and that a big thank you for the time invested in finding the right talent during the hiring process for the open role within the AR collections team at year end. i know a lot of work was done to comb through the market review candidates and set up interviews. there is then the time invested in conducting the interviews during what was a super busy period of the year as we approached the end of year. Thank you for your collaboration from providing feedback on the candidates and being a soundboard for me as i created the rec and put thought into the required personnel to fill the roll, it was great that we were all on the same page and ultimately in agreement on the chosen candidate. getting it all tied up prior to the Xmas break to have our new hire start in the new year was super impressive and important as we had further time consuming activities taking place in Q1 that required focus.",2024-04-09
73056,7569574,17272134,159914467,157678573,7416045.0,0,620,The Best Brain Trust!,"Thank you all for the work, content and ideation you put forward for the Prudential strategy call! We set out to prove the value in our partnership and to get them thinking about all the ways we can optimize You Rock! to it's fullest potential, and boy did we! The amazing discovery session at the beginning of the call gave us all the ammunition we needed to not just tailor the upcoming annual review, but also the strategy session we were in. I know it may have been taken about 70% of the hour, but I know it is going to be integral to our ongoing PRU strategy. Seriously - shout out to Sheri, Isha, Shelly and Adam who presented their fantastic content eloquently while at a break-neck speed! I couldn't be more excited about the direction we are now in for the annual review, their 2024 strategy and beyond. Thank you all again for your work and for being the best Brain Trust out there!",2024-04-03
73130,10792543,21587104,159973495,157601811,,0,620,The most innovative leader,"Amy,  Daily, I am floored by your unwavering dedication to driving innovation within our corp comms team.  Your encouragement of experimentation has encouraged us to push boundaries and explore uncharted ways and means of tackling projects.   Your strategic way of thinking, always with data in mind, coupled with your openness to new perspectives enables us to perform in new ways as a team together - you truly drive innovation and collaboration. Your ability to inspire and motivate others is setting a remarkable standard of leadership for us all. So lucky to be a part of your team.",2024-04-03
73578,10792543,67036,159598692,157308171,7390081.0,0,620,Department Meetings,"Thank you all for the help, guidance, logistics and planning, that went into my department World Tour these past few weeks! It's actually a difficult thing to accomplish logistically. Getting the right amount of attendees, whilst making sure there was enough department concentration in each meeting so that I could tailor the talk to the specific circumstances, was a balancing act. I was disappointed that my rider at each location of Crunchies was cruelly ignored, but I pushed on  😂 A special thank you to Amy who, mercilessly, had to sit through every one,  and listen to mostly the same talk track time after time - what an accomplishment! Seriously, thank you all for the endless help!",2024-03-29
73635,7089735,2825988,159499807,157219829,,0,620,Help with Babson students,Thank you for your help walking the Babson students through your organization and how we use data to drive decisions.,2024-03-28
